address,latitude,longitude,floorSize,price,url
"14025 Riverside Dr Unit 7, Sherman Oaks, CA 91423",34.15804,-118.43838,"2,105","$899,000",https://www.zillow.com/homedetails/14025-Riverside-Dr-UNIT-7-Sherman-Oaks-CA-91423/19986080_zpid/
"133 S Mapleton Dr, Los Angeles, CA 90024",34.081722,-118.43342,"30,000","$65,000,000",https://www.zillow.com/homedetails/133-S-Mapleton-Dr-Los-Angeles-CA-90024/20524379_zpid/
"1853 Sunset Plaza Dr, Los Angeles, CA 90069",34.101223,-118.382935,"5,817","$6,999,000",https://www.zillow.com/homedetails/1853-Sunset-Plaza-Dr-Los-Angeles-CA-90069/20798110_zpid/
"335 E 91st St, Los Angeles, CA 90003",33.95404,-118.26825,960,"$539,000",https://www.zillow.com/homedetails/335-E-91st-St-Los-Angeles-CA-90003/20952868_zpid/
"10700 Lindbrook Dr, Los Angeles, CA 90024",34.061577,-118.4362,"3,672","$3,799,000",https://www.zillow.com/homedetails/10700-Lindbrook-Dr-Los-Angeles-CA-90024/20525333_zpid/
"11639 Picturesque Dr, Studio City, CA 91604",34.13932,-118.38526,"2,562","$1,350,000",https://www.zillow.com/homedetails/11639-Picturesque-Dr-Studio-City-CA-91604/20028347_zpid/
"367 N Van Ness Ave, Los Angeles, CA 90004",34.07818,-118.316124,"2,994","$2,650,000",https://www.zillow.com/homedetails/367-N-Van-Ness-Ave-Los-Angeles-CA-90004/20782105_zpid/
"10003 Westwanda Dr, Beverly Hills, CA 90210",34.110962,-118.43729,"1,254","$1,649,000",https://www.zillow.com/homedetails/10003-Westwanda-Dr-Beverly-Hills-CA-90210/20532802_zpid/
"1460 Laurel Way, Beverly Hills, CA 90210",34.09894,-118.41739,"16,424","$35,000,000",https://www.zillow.com/homedetails/1460-Laurel-Way-Beverly-Hills-CA-90210/20523275_zpid/
"0 Unknown Street Name, La Crescenta, CA 91214",34.267185,-118.239044,,"$8,000",https://www.zillow.com/homedetails/0-Unknown-Street-Name-La-Crescenta-CA-91214/2067548646_zpid/
"12600 Van Nuys Blvd Space 73, Pacoima, CA 91331",34.276085,-118.40685,,"$79,000",https://www.zillow.com/homedetails/12600-Van-Nuys-Blvd-SPACE-73-Pacoima-CA-91331/2067859512_zpid/
"1829 N Kenmore Ave, Los Angeles, CA 90027",34.10433,-118.29739,"1,938","$1,475,000",https://www.zillow.com/homedetails/1829-N-Kenmore-Ave-Los-Angeles-CA-90027/20810216_zpid/
"2505 Summitridge Dr, Beverly Hills, CA 90210",34.120285,-118.421555,"12,860","$29,900,000",https://www.zillow.com/homedetails/2505-Summitridge-Dr-Beverly-Hills-CA-90210/20533567_zpid/
"1118 Valencia St Apt 115, Los Angeles, CA 90015",34.045746,-118.27329,650,"$380,000",https://www.zillow.com/homedetails/1118-Valencia-St-APT-115-Los-Angeles-CA-90015/20624586_zpid/
"14718 Cohasset St, Van Nuys, CA 91405",34.206398,-118.45379,"1,130","$699,000",https://www.zillow.com/homedetails/14718-Cohasset-St-Van-Nuys-CA-91405/19960007_zpid/
"2300 Nichols Canyon Rd, Los Angeles, CA 90046",34.113117,-118.36046,"4,997","$3,895,000",https://www.zillow.com/homedetails/2300-Nichols-Canyon-Rd-Los-Angeles-CA-90046/20803092_zpid/
"7931 Lasaine Ave, Northridge, CA 91325",34.21482,-118.51116,"1,214","$719,000",https://www.zillow.com/homedetails/7931-Lasaine-Ave-Northridge-CA-91325/19952220_zpid/
"1128 Donaire Way, Pacific Palisades, CA 90272",34.056725,-118.5448,"3,219","$3,550,000",https://www.zillow.com/homedetails/1128-Donaire-Way-Pacific-Palisades-CA-90272/20544469_zpid/
